"transport_mode","angle","diff_s","steplength","velocity","step_mean","diff_s_mean","velocity_mean","acceleration","acceleration_mean","sinuosity"
"Walk",157.415148712224,15,16.8363269604548,1.12242179736365,39.7757535308748,37,1.07502036569932,0.0748281198242436,0.0299615802662793,1.36770064540437
"Walk",168.361115455171,16,20.0909013739473,1.25568133587171,32.5203355835831,26.3333333333333,1.23494945254113,0.0837120890581139,0.0302478613228042,1.29495995115694
"Walk",112.872691814291,30,4.95012399455985,0.165004133151995,21.8080943060494,18,1.21156079478052,0.0103127583219997,0.0424944230952881,1.06168737862153
"Walk",102.5929174412,16,6.47536313573381,0.404710195983363,18.5803264462675,18.1666666666667,1.02277026309729,0.0134903398661121,0.0560785662328349,1.09817428292482
"Walk",163.144326014605,16,0.952184458863424,0.059511528678964,20.5982881874807,18.3333333333333,1.1235429920444,0.00371947054243525,0.0601295720012041,1.08508440303574
"Walk",137.570007844784,16,24.9286133618896,1.5580383351181,28.7072379178019,18.1666666666667,1.58021493125515,0.0973773959448813,0.0652059174704739,1.07106139730691
"Walk",161.296322313488,16,27.932106258447,1.74575664115294,40.3417155743563,15.6666666666667,2.57500312176742,0.109109790072059,0.0811891429327275,1.00961283695681
"Walk",171.96056282368,15,24.7644384486787,1.65096256324525,48.2823874430621,15.6666666666667,3.08185451764226,0.103185160202828,0.0961249586894069,1.01239508776746
"Walk",179.007170949678,15,26.8304641521756,1.78869761014504,52.1303194574415,15.6666666666667,3.32746719941116,0.119246507343003,0.114489787712175,1.10507249926548
"Walk",165.459850723448,16,29.326880773866,1.83293004836662,53.6896414006683,15.5,3.46384783230118,0.122195336557775,0.120303384030619,1.211807773686
"Walk",128.422851611948,16,30.2185088416942,1.88865680260589,58.3011480197135,15.3333333333333,3.80224878389436,0.118041050162868,0.122973639600354,1.22083850288675
"Walk",169.295139046367,15,31.745585688434,2.11637237922894,57.9073558849247,15.5,3.73595844418869,0.132273273701808,0.123812652656666,1.15835400569482
"Walk",177.686244957693,15,31.066328289148,2.07108855260986,59.3860231107036,15.6666666666667,3.79059721983214,0.138072570173991,0.123713609952391,1.0717680883265
"Walk",167.585069595022,16,30.6723789744496,1.9170236859031,59.3889117986633,15.6666666666667,3.79078160417,0.127801579060207,0.121749894693533,1.07951612074825
"Walk",175.939874100349,16,27.9189124088348,1.74493202555218,57.1812865852034,15.6666666666667,3.64986935650234,0.109058251597011,0.119682221748612,1.15901904674796
"Walk",129.47307536705,16,30.3496213537484,1.89685133460927,55.3093445931099,15.6666666666667,3.53038369743255,0.11855320841308,0.113637615918206,1.17317019937644
"Walk",170.362094325879,16,27.7630284149169,1.73518927593231,48.6608615411146,15.8333333333333,3.07331757101776,0.108449329745769,0.0970803443587169,1.16357577102572
"Walk",98.4638785076688,15,24.8561614916204,1.65707743277469,45.2508380560206,15.6666666666667,2.88835136527791,0.103567339548418,0.0827826735309057,1.1783003267692
"Walk",115.9716756541,16,21.5906478933522,1.34941549333451,39.9689202510755,39.1666666666667,1.02048307024022,0.0899610328889676,0.0687070504201945,1.95299749500629
"Walk",118.19782076932,15,5.32120062181588,0.354746708121059,44.6519211131987,37.1666666666667,1.20139698062418,0.0221716692575662,0.0870411594044622,1.78179294212509
"Walk",119.377118514607,157,65.275615090318,0.415768248982917,46.9833916170032,35.1666666666667,1.33602061470151,0.0277178832655278,0.105728388718659,1.38240766068165
"Tram",132.069837547929,4,6.61214280823671,1.65303570205918,37.6086992159284,33.3333333333333,1.12826097647785,0.010528889822033,0.116078034052504,1.44267089761449
"Tram",177.310773129307,4,3.95027154084725,0.987567885211812,28.6262091679798,31.3333333333333,0.913602420254673,0.246891971302953,0.600294199906445,1.08323741196592
"Tram",179.173110920518,4,3.8281589591223,0.957039739780576,26.6579356260431,29.5,0.90365883478112,0.239259934945144,1.05224811581927,1.10504484687159
"Tram",179.821553199666,4,2.81623771016541,0.704059427541353,32.7930301189005,4,8.19825752972512,0.176014856885338,1.2408670322212,1.0000627827555
"Tram",179.180860632917,4,55.6715871018649,13.9178967754662,51.7640187795731,4,12.9410046948933,3.47947419386656,1.37815023518729,1.00001051011072
"Tram",179.559703604392,4,50.9735852903572,12.7433963225893,64.6792335428353,4,16.1698083857088,3.18584908064732,1.41665784660034,1.00001548512982
"Tram",179.555000146896,4,21.5688047692646,5.39220119231614,62.1993979955874,4.16666666666667,14.927855518941,1.34805029807903,1.44307463862457,1.00004434776823
"Tram",179.143637182598,4,15.5441809693554,3.88604524233885,49.6803386976742,4.16666666666667,11.9232812874418,0.971511310584712,1.48757889830176,1.00020151001063
"Tram",178.759799870565,5,10.3289050238861,2.06578100477722,32.7463153408066,4.16666666666667,7.85911568179358,0.516445251194305,1.06795373166708,1.0005109144561
"Tram",177.122784504938,4,8.48354958229449,2.12088739557362,22.225134151605,4.16666666666667,5.3340321963852,0.424177479114724,0.69425919993211,1.00148482372131
"Tram",178.77898790872,4,7.8007147940105,1.95017869850262,18.5797291148606,4.16666666666667,4.45913498756655,0.487544674625656,0.612076616691854,1.00227434077338
"Tram",177.112836003217,4,8.67356843878142,2.16839210969536,17.8816165272656,4.16666666666667,4.29158796654375,0.542098027423839,0.622560854592802,1.00260329899113
"Tram",177.579389957762,4,9.11979773604,2.27994943401,22.600501211281,4.66666666666667,4.8429645452745,0.5699873585025,0.707014122938356,1.00173629840007
"Tram",177.922382718922,4,12.3643554463559,3.09108886158896,31.9824918415611,4.66666666666667,6.85339110890595,0.772772215397241,1.20578046819339,1.00085513044853
"Tram",179.486937496393,8,33.4368312285231,4.17960390356538,49.6389449434273,4.66666666666667,10.6369167735916,1.04490097589135,1.45215066101939,1.00024267577881
"Tram",179.982908520452,4,35.4437801476219,8.86094503690549,68.3370756917315,4.83333333333333,14.1387053155307,1.10761812961319,1.66854674243594,1.00004843517757
"Tram",179.884269458276,4,62.6486703343989,15.6621675835997,83.8562072701156,4.83333333333333,17.3495601248515,3.91554189589993,1.73750835628727,1.00000413574845
